,CityName,City_id,Country,Latitude,Max_Temperature,Humidity,Cloudiness,WindSpeed
328,Trelew,3833883,AR,-43.25,33.2,72,45,14.41
329,Balta,712886,UA,47.94,57.68,87,2,7.76
330,Marsh Harbour,3571913,BS,26.54,83.6,70,63,7.05
331,Alofi,4036284,NU,-19.06,77.0,73,75,17.22
332,Port Hedland,2063042,AU,-20.31,57.2,54,0,5.82
333,Domoni,921906,KM,-12.26,79.1,71,4,14.83
334,Porto Walter,3662761,BR,-8.27,76.76,74,7,1.59
335,Victoria,241131,SC,-4.62,80.6,83,24,6.93
336,Isangel,2136825,VU,-19.55,77.0,78,90,9.17
337,Sao Miguel do Araguaia,3448455,BR,-13.28,74.24,33,0,3.09
338,Yokadouma,2220853,CM,3.52,69.38,97,98,1.32
339,Ferme-Neuve,5952330,CA,46.7,72.62,69,51,1.97
340,Pujili,3652684,EC,-0.95,59.0,67,40,16.11
341,Acapulco,3533462,MX,16.86,91.4,59,40,5.82
342,Anyksciai,600994,LT,55.53,44.54,95,0,7.99
343,Maniitsoq,3421982,GL,65.42,44.0,74,37,1.63
344,Mareeba,2158767,AU,-16.99,71.01,77,0,13.87
345,Swellendam,950709,ZA,-34.02,50.0,87,0,3.36
346,Mount Gambier,2156643,AU,-37.83,46.4,100,75,10.29
347,Saint George,3573061,BM,32.38,78.8,61,20,6.93
348,Tefe,3661944,BR,-3.35,80.6,88,40,1.12
349,Dunedin,2191562,NZ,-45.87,51.01,67,57,15.99
350,Hakui,1863341,JP,36.89,75.99,94,75,2.24
351,Huarmey,3939168,PE,-10.07,62.9,85,14,13.13
352,Bambanglipuro,1650434,ID,-7.95,74.6,88,28,4.36
353,Taunggyi,1293960,MM,20.78,68.3,94,100,3.98
354,Pocone,3453315,BR,-16.26,76.76,61,66,4.47
355,Shebunino,468902,RU,57.66,55.4,93,90,13.42
356,Flin Flon,5954718,CA,54.77,62.6,45,75,12.75
357,Camocim,3403687,BR,-2.9,73.34,94,79,5.7
358,Kitui,191038,KE,-1.37,63.26,84,33,3.91
359,Puerto Escondido,3520994,MX,15.86,87.8,70,75,6.93
360,Jackville,2290582,CI,5.21,78.8,94,40,8.05
361,Castiglione del Lago,3179419,IT,43.13,72.0,62,43,3.0
362,Tabou,2281120,CI,4.42,74.06,92,96,3.94
363,Zakamensk,2012728,RU,50.38,54.62,95,100,4.36
364,Yumen,1528998,CN,40.29,80.9,15,27,6.73
365,Guarapari,3461888,BR,-20.67,78.8,74,0,14.99
366,Shelburne,6145890,CA,44.08,82.4,24,20,6.93
367,Maragogi,3395458,BR,-9.01,72.26,94,7,3.0
368,Tilichiki,2120591,RU,60.47,62.54,62,100,7.4
369,Salym,1493162,RU,60.06,59.48,96,84,5.97
370,Belem de Sao Francisco,3405852,BR,-8.75,78.38,62,72,20.4
371,Krutinka,1501690,RU,56.01,55.34,95,96,9.31
372,Vanimo,2084442,PG,-2.67,81.44,69,94,2.62
373,Inndyr,3151056,NO,67.03,50.0,87,40,6.93
374,Hearst,5973108,CA,49.69,80.36,44,95,3.87
375,Cherskiy,2126199,RU,68.75,54.08,53,94,7.83
376,Wuwei,1803936,CN,37.93,76.94,27,0,4.79
377,Mahajanga,1062663,MG,-15.72,69.8,88,0,2.24
378,Port-de-Bouc,6447156,FR,43.4,78.01,57,0,5.82
379,Paamiut,3421193,GL,61.99,42.02,82,28,6.26
380,Vila Franca do Campo,3372472,PT,37.72,68.0,82,20,6.93
381,Itarema,3393692,BR,-2.92,73.88,95,15,4.52
382,Pevek,2122090,RU,69.7,32.3,99,100,3.96
383,Alzamay,1511709,RU,55.55,64.7,90,5,1.41
384,Chokurdakh,2126123,RU,70.62,41.48,78,100,5.03
385,Aripuana,3665202,BR,-9.17,81.44,55,43,1.28
386,Nizhniy Kuranakh,2019135,RU,58.84,44.9,94,100,4.36
387,Toba,1850345,JP,34.47,78.01,94,75,8.05
388,Vuktyl,470905,RU,63.86,63.26,79,83,5.99
389,Margate,978895,ZA,-30.86,52.64,60,0,6.31
390,Boyolangu,1648082,ID,-8.09,71.72,86,26,1.32
391,Carlsbad,5334223,US,33.16,77.0,60,1,8.05
392,Northam,2064550,AU,-31.65,64.4,42,40,17.22
393,Agua Verde,4019219,MX,22.89,87.8,62,40,17.22
394,Lorengau,2092164,PG,-2.02,83.06,71,14,4.45
395,Kudahuvadhoo,1337607,MV,2.67,82.88,74,78,7.11
396,Nurota,1513087,UZ,40.56,64.4,39,0,13.38
397,Watertown,5232741,US,44.9,89.6,52,1,3.36
398,Port Hardy,6111862,CA,50.7,60.8,77,75,5.82
399,Dhangadhi,1283467,NP,28.7,78.92,73,98,3.58
400,Terrace,6162949,CA,54.52,66.2,59,90,13.87
401,Astara,142676,AZ,38.42,69.8,94,40,2.24
402,Uvalde,4738721,US,29.21,95.0,52,40,9.17
403,Abha,110690,SA,18.22,73.4,43,0,4.41
